id|alimento|calorias|carbohidratos|proteinas|lipidos
150|barrita de cereales con frutas rojas|392|78|8|5
151|pimenton|357|34.84|14.8|12.95
152|pimienta blanca|283|42.41|10.4|2.1
153|pimienta negra|280|38.31|10.9|3.3
154|sal comun|0|0|0|0
155|vinagre|4|0.6|0.4|0
156|guindilla picante|47.2|6.7|1.87|1.1
157|oregano seco|308|21.63|11|10.25
158|azafran|352|61.5|11.43|5.85
159|nuez moscada|506|28.5|5.84|36.31
160|menta fresca|67|6.89|3.75|0.94
161|laurel|353|48.67|7.61|8.36
162|vainilla|51.4|12.65|0.06|0.06
163|canela|255|25.55|3.89|3.19
164|alioli|796|2.8|0.5|86.9
165|gelatina|338|0|84.4|0
166|ketchup|117|26|2|0.4
167|mayonesa comercial|709|5.8|1.3|75.6
168|mayonesa ligera|300|10.8|1|28.1
169|mostaza|125|5|7.1|8.2
170|salsa agridulce|121|23.99|0.48|2.38
171|salsa barbacoa|71|11.6|1.8|1.8
172|salsa al curry|78.2|6.79|1.5|5
173|salsa de queso|111|8.4|5.3|6.1
174|salsa bechamel|153|10.8|4.1|10.3
175|salsa boloñesa|148|3.4|8|11.1
176|salsa carbonara|307|2|7.5|29.9
177|salsa de soja|65.7|6.7|8.7|0.1
178|salsa holandesa|289|0.6|2.7|30.6
179|salsa roquefort|486|7.4|7.2|47.5
180|salsa vinagreta|648|0.2|0.2|71.8
181|sofrito|215|4.7|1.1|21
182|batido hipocalorico|351|44.3|26.9|4.6
183|barrita hipocalorica|473|42|22|22.9
184|crema hipocalorica|330|47|23|3.8
185|leche de inicio (polvo)|516|57.2|11.4|26.8
186|leche de continuacion (polvo)|500|57.3|12.9|24.3
187|papilla de cereales con leche (polvo)|419|68|15.5|9
188|papilla sin gluten con leche (polvo)|423|70.6|15.3|8.3
189|papilla de cereales y miel con leche (polvo)|421|72.4|13|8.8
190|papilla de cereales y frutas (polvo)|379|85.8|6|1.3
191|papilla sin gluten y frutas con leche (polvo)|422|70.8|15.2|8.7
192|papilla de cereales, frutas y yogur con leche (polvo)|418|71|12.6|9.3
193|potito de fruta variada|114|27|0.6|0.1
194|potito de pescado|74.6|6|3.6|3.8
195|potito de pollo|78.5|5.8|5.2|3.7
196|potito de ternera|64.8|6|3.6|2.6
